Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.860000,0.860000
jittering_0.05,jittering,0.05,0.860000,0.850000
jittering_0.1,jittering,0.1,0.860000,0.840000
jittering_0.2,jittering,0.2,0.855000,0.860000
jittering_0.4,jittering,0.4,0.820000,0.830000
missing_0,missing,0,0.860000,0.860000
missing_0.05,missing,0.05,0.830000,0.835000
missing_0.1,missing,0.1,0.845000,0.840000
missing_0.2,missing,0.2,0.880000,0.800000
missing_0.4,missing,0.4,0.795000,0.765000
outlier_0,outlier,0,0.860000,0.860000
outlier_0.05,outlier,0.05,0.805000,0.825000
outlier_0.1,outlier,0.1,0.795000,0.830000
outlier_0.2,outlier,0.2,0.755000,0.805000
outlier_0.4,outlier,0.4,0.765000,0.760000
scaling_0,scaling,0,0.860000,0.860000
scaling_0.05,scaling,0.05,0.860000,0.850000
scaling_0.1,scaling,0.1,0.860000,0.840000
scaling_0.2,scaling,0.2,0.855000,0.860000
scaling_0.4,scaling,0.4,0.820000,0.830000
trend_0,trend,0,0.860000,0.860000
trend_0.05,trend,0.05,0.860000,0.850000
trend_0.1,trend,0.1,0.860000,0.840000
trend_0.2,trend,0.2,0.855000,0.860000
trend_0.4,trend,0.4,0.820000,0.830000
