"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.796124","0.696788"
"jittering_0.05","jittering","0.05","0.843632","0.649723"
"jittering_0.1","jittering","0.1","0.800997","0.687486"
"jittering_0.2","jittering","0.2","0.668549","0.753821"
"jittering_0.4","jittering","0.4","0.483610","0.758361"
"missing_0","missing","0","0.796124","0.696788"
"missing_0.05","missing","0.05","0.621262","0.697010"
"missing_0.1","missing","0.1","0.654264","0.711185"
"missing_0.2","missing","0.2","0.686822","0.706645"
"missing_0.4","missing","0.4","0.649059","0.696678"
"outlier_0","outlier","0","0.796124","0.696788"
"outlier_0.05","outlier","0.05","0.436434","0.578516"
"outlier_0.1","outlier","0.1","0.416722","0.611739"
"outlier_0.2","outlier","0.2","0.455039","0.630565"
"outlier_0.4","outlier","0.4","0.360022","0.526689"
