Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.938538,0.782171
jittering_0.05,jittering,0.05,0.568660,0.805316
jittering_0.1,jittering,0.1,0.274751,0.682503
jittering_0.2,jittering,0.2,0.246401,0.516611
jittering_0.4,jittering,0.4,0.246401,0.369657
missing_0,missing,0,0.938538,0.782171
missing_0.05,missing,0.05,0.374640,0.530565
missing_0.1,missing,0.1,0.450388,0.577741
missing_0.2,missing,0.2,0.511960,0.621041
missing_0.4,missing,0.4,0.573422,0.687929
outlier_0,outlier,0,0.938538,0.782171
outlier_0.05,outlier,0.05,0.341085,0.369989
outlier_0.1,outlier,0.1,0.365338,0.431672
outlier_0.2,outlier,0.2,0.255814,0.279956
outlier_0.4,outlier,0.4,0.279513,0.374086
scaling_0,scaling,0,0.938538,0.782171
scaling_0.05,scaling,0.05,0.568660,0.805316
scaling_0.1,scaling,0.1,0.274751,0.682503
scaling_0.2,scaling,0.2,0.246401,0.516611
scaling_0.4,scaling,0.4,0.246401,0.369657
trend_0,trend,0,0.938538,0.782171
trend_0.05,trend,0.05,0.568660,0.805316
trend_0.1,trend,0.1,0.274751,0.682503
trend_0.2,trend,0.2,0.246401,0.516611
trend_0.4,trend,0.4,0.246401,0.369657
