Noise,Noise_Type,Intensity,1nn
jittering_0,jittering,0,0.905000
jittering_0.05,jittering,0.05,0.950000
jittering_0.1,jittering,0.1,0.930000
jittering_0.2,jittering,0.2,0.820000
jittering_0.4,jittering,0.4,0.690000
missing_0,missing,0,0.905000
missing_0.05,missing,0.05,0.765000
missing_0.1,missing,0.1,0.780000
missing_0.2,missing,0.2,0.840000
missing_0.4,missing,0.4,0.860000
outlier_0,outlier,0,0.905000
outlier_0.05,outlier,0.05,0.555000
outlier_0.1,outlier,0.1,0.540000
outlier_0.2,outlier,0.2,0.545000
outlier_0.4,outlier,0.4,0.470000
scaling_0,scaling,0,0.905000
scaling_0.05,scaling,0.05,0.950000
scaling_0.1,scaling,0.1,0.930000
scaling_0.2,scaling,0.2,0.820000
scaling_0.4,scaling,0.4,0.690000
trend_0,trend,0,0.905000
trend_0.05,trend,0.05,0.950000
trend_0.1,trend,0.1,0.930000
trend_0.2,trend,0.2,0.820000
trend_0.4,trend,0.4,0.690000
