Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.994444,0.894444
jittering_0.05,jittering,0.05,0.994444,0.916667
jittering_0.1,jittering,0.1,0.994444,0.905556
jittering_0.2,jittering,0.2,0.927778,0.927778
jittering_0.4,jittering,0.4,0.527778,0.805556
missing_0,missing,0,0.994444,0.894444
missing_0.05,missing,0.05,0.972222,0.900000
missing_0.1,missing,0.1,0.916667,0.911111
missing_0.2,missing,0.2,0.866667,0.872222
missing_0.4,missing,0.4,0.750000,0.816667
outlier_0,outlier,0,0.994444,0.894444
outlier_0.05,outlier,0.05,0.577778,0.633333
outlier_0.1,outlier,0.1,0.488889,0.538889
outlier_0.2,outlier,0.2,0.477778,0.583333
outlier_0.4,outlier,0.4,0.383333,0.472222
scaling_0,scaling,0,0.994444,0.894444
scaling_0.05,scaling,0.05,0.994444,0.916667
scaling_0.1,scaling,0.1,0.994444,0.905556
scaling_0.2,scaling,0.2,0.927778,0.927778
scaling_0.4,scaling,0.4,0.527778,0.805556
trend_0,trend,0,0.994444,0.894444
trend_0.05,trend,0.05,0.994444,0.916667
trend_0.1,trend,0.1,0.994444,0.905556
trend_0.2,trend,0.2,0.927778,0.927778
trend_0.4,trend,0.4,0.527778,0.805556
