Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.976667,1.000000
jittering_0.05,jittering,0.05,0.960000,0.980000
jittering_0.1,jittering,0.1,0.910000,0.963333
jittering_0.2,jittering,0.2,0.700000,0.870000
jittering_0.4,jittering,0.4,0.550000,0.640000
missing_0,missing,0,0.976667,1.000000
missing_0.05,missing,0.05,0.936667,0.993333
missing_0.1,missing,0.1,0.870000,0.983333
missing_0.2,missing,0.2,0.840000,0.946667
missing_0.4,missing,0.4,0.626667,0.870000
outlier_0,outlier,0,0.976667,1.000000
outlier_0.05,outlier,0.05,0.933333,0.993333
outlier_0.1,outlier,0.1,0.880000,0.983333
outlier_0.2,outlier,0.2,0.696667,0.980000
outlier_0.4,outlier,0.4,0.633333,0.916667
scaling_0,scaling,0,0.976667,1.000000
scaling_0.05,scaling,0.05,0.960000,0.980000
scaling_0.1,scaling,0.1,0.910000,0.963333
scaling_0.2,scaling,0.2,0.700000,0.870000
scaling_0.4,scaling,0.4,0.550000,0.640000
trend_0,trend,0,0.976667,1.000000
trend_0.05,trend,0.05,0.960000,0.980000
trend_0.1,trend,0.1,0.910000,0.963333
trend_0.2,trend,0.2,0.700000,0.870000
trend_0.4,trend,0.4,0.550000,0.640000
