"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.866667","0.896667"
"jittering_0.05","jittering","0.05","0.840000","0.863333"
"jittering_0.1","jittering","0.1","0.683333","0.766667"
"jittering_0.2","jittering","0.2","0.550000","0.616667"
"jittering_0.4","jittering","0.4","0.430000","0.453333"
"missing_0","missing","0","0.866667","0.896667"
"missing_0.05","missing","0.05","0.796667","0.790000"
"missing_0.1","missing","0.1","0.663333","0.680000"
"missing_0.2","missing","0.2","0.603333","0.666667"
"missing_0.4","missing","0.4","0.506667","0.450000"
"outlier_0","outlier","0","0.866667","0.896667"
"outlier_0.05","outlier","0.05","0.586667","0.636667"
"outlier_0.1","outlier","0.1","0.503333","0.560000"
"outlier_0.2","outlier","0.2","0.340000","0.460000"
"outlier_0.4","outlier","0.4","0.360000","0.370000"
