"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.945850","0.359684"
"jittering_0.05","jittering","0.05","0.513439","0.577075"
"jittering_0.1","jittering","0.1","0.513439","0.540711"
"jittering_0.2","jittering","0.2","0.513439","0.504743"
"jittering_0.4","jittering","0.4","0.513439","0.504743"
"missing_0","missing","0","0.945850","0.359684"
"missing_0.05","missing","0.05","0.415415","0.568379"
"missing_0.1","missing","0.1","0.531225","0.523320"
"missing_0.2","missing","0.2","0.486166","0.531225"
"missing_0.4","missing","0.4","0.531621","0.523715"
"outlier_0","outlier","0","0.945850","0.359684"
"outlier_0.05","outlier","0.05","0.440316","0.486957"
"outlier_0.1","outlier","0.1","0.432806","0.513834"
"outlier_0.2","outlier","0.2","0.468379","0.467589"
"outlier_0.4","outlier","0.4","0.495652","0.486957"
